start;Привет!
Привет!;Здорово
Здорово;Как дела?
Как дела?;Нормально
Нормально;А что такой грустный?
А что такой грустный?;Да приболел я
Нормально;А че ваще?
Привет!;Здравствуй!
Здорово;ты дебил
Привет!;привет
Привет!;жопа
Привет!;как дела
Привет!;привет.
Нормально;как дела
Нормально;Не грустно?
Привет!;привет
Привет!;хуй
Привет!;как дела?
Привет!;нормально
Привет!;привет
Привет!;пока
Привет!;как дела 
Привет!;как погода азаза
Привет!;привет
Привет!;Ты пидр
Привет!;как дела
А что такой грустный?;не грустный
Нормально;грустный?
Нормально;что ты знаешь?
А что такой грустный?;грустный
как дела;хорошо
Привет!;вчера хорошо посидели
пока;сам пока
сам пока;ты жопа
Привет!;это тебе привет
Привет!;ну ты и тупой
Привет!;ну привет!
Привет!;ну ты тупой
Привет!;что ты знаешь?
Привет!;я знаю все
нормально;что нормально?
Привет!;ну что привет
Привет!;расскажи как дела
Ты пидр;это ты пидор!
Привет!;что ты знаешь?
Привет!;Что ты умеешь?
Привет!;я ничего не знаю
жопа;сам жопа!
Нормально;а у меня не очень
Что ты умеешь?;я умею пить
а;что а?
Привет!;здравствуй
грустный?;нет
что ты знаешь?;я знаю все
я знаю все;что все?
грустный?;нет, веселый
Привет!;добрый день!
Привет!;Как поживаешь?
Привет!;я вот живу нормально
Привет!;хожу в школу
ну что привет;ну а ты что?
ну ты тупой;ты сам тупой
сам пока;ты жопа
сам пока;тебе пока два раза
Привет!;чем занимаешься?
Привет!;Я пиво пью!
ну ты и тупой;ты сам тупой
Привет!;Козел!
Привет!;Расскажи что-нибудь.
я знаю все;А я еще больше.
Привет!;Сколько будет два плюс два?
Привет!;Да?
Привет!;Похоже ты совсем тупой!
Козел!;Сам козел!
Сам козел!;Я тебя научу как под окнами срать!
Я тебя научу как под окнами срать!;Как ты до такой жизни дошел?
хожу в школу;А я уже взрослый.
это тебе привет;От кого?
ну привет!;Ну что привет?
Как поживаешь?;Хорошо.
вчера хорошо посидели;С кем?
вчера хорошо посидели;С кем посидели?
Я тебя научу как под окнами срать!;Лучше себя отучи ругаться!
вчера хорошо посидели;Рад за вас.
Сколько будет два плюс два?;Четыре.
ну ты тупой;Ты сам тупой!
Да?;Ага.
я знаю все;Что например?
ну что привет;Ку-ку!
что ты знаешь?;Знаю про тебя кое-что!
Ты пидр;Это ты пидр!
как дела;Пока не родила.
Здорово;Здоровее видали!
Я пиво пью!;А ты конфетки ешь.
что ты знаешь?;Самое главное.
это тебе привет;Привет с того света.
Похоже ты совсем тупой!;Я не тупой. Я ограниченный.
Здорово;Дай три рубля до второго.
нормально;Ничего нормального.
как погода азаза;Погода солнечная.
Сколько будет два плюс два?;Четыре.
привет;Нарвский совет.
это тебе привет;И тебе привет.
Здорово;Очень здорово!
Ты пидр;Не ругайся.
как дела?;Хорошо. Живу помаленьку.
чем занимаешься?;Тхэквондо и самбо.
Я пиво пью!;С орешками?
привет;Эгегей!
Как поживаешь?;Добра наживаю.
Похоже ты совсем тупой!;Не тупее тебя.
жопа;С ручкой.
Козел!;Вонючий?
Ты пидр;Нет, я натурал.
пока;До свидания.
хуй;пизда
как погода азаза;мне нравятся плечи твои и глаза
