start;Привет!
Привет!;Здорово
Здорово;Как дела?
Как дела?;Нормально
Нормально;А что такой грустный?
А что такой грустный?;Да приболел я
Нормально;А че ваще?
Привет!;Здравствуй!
Здорово;ты дебил
Привет!;привет
Привет!;привет
Привет!;жопа
Привет!;как дела
Привет!;как дела
Привет!;привет.
Нормально;как дела
Нормально;Не грустно?
Привет!;привет
Привет!;хуй
Привет!;как дела?
Привет!;нормально
Привет!;asfdgdfg
Привет!;fdgdfg
Привет!;sdfgdsgf
Привет!;йцуйцуйцу
Привет!;ацуйцуйцу
Привет!;sdfsdfsdfdsfаываыва
Привет!;asdasdasd
Привет!;dsfsdf
Привет!;привет
Привет!;пока
Привет!;как дела 
Привет!;к
Привет!;а
Привет!;а
Привет!;а
Привет!;а
Привет!;а
Привет!;а
Привет!;а
Привет!;а
Привет!;как погода азаза
Привет!;привет
Привет!;Ты пидр
Привет!;как дела
А что такой грустный?;не грустный
Нормально;грустный?
